# Lines beginning with a sharp are comments.,
# Type the key on the left and the text on the right.,
# Separate keys and sentences with commas.,
#,
# シャープから始まる行はコメントです。,
# 以下に、左側にキー、右側にテキストを入力してください。,
# キーとテキストはカンマで区切ってください。,
#,
,
game_title, 火柴棍游戏
press_z_key_to_start, 按 Z 开始
click_left_to_start, 左键单击开始
copy_right, Copy right 2021 Saidai Game Production
menu_game,比赛开始
menu_rule,规则检查
menu_setting,设置
menu_replay,重放
menu_language,语言设置
menu_back,返回上一屏幕
menu_end,游戏结束
language_title,语言设置
language_reset,重置
language_back,返回上一屏幕
rule_back_scene, 返回上一屏幕
rule_text_0_0,如何使用此屏幕．
rule_text_0_1,选择左侧的菜单项即可查看规则．
rule_text_0_2,右下角的按钮可以让您返回上一屏幕．
rule_text_0_3,键盘操作方面，上／下输入可更改项目，左／右输入可在按钮和菜单之间切换．
rule_text_0_4,要进行鼠标操作，请单击每个项目．
rule_text_1_0,基本规则 1 / 2
rule_text_1_1,首先，确定第一步和第二步棋．
rule_text_1_2,接下来，双方举起双手食指．
rule_text_1_3,攻击者从对方的第一只手中选择一只手进行攻击．被攻击的手做出一个额外的手指，与被攻击的手的手指数相等．
rule_text_1_4,（例如，如果你攻击一只竖着三根手指的手，而对手竖着一根手指，那么他就会有四根手指）
rule_text_1_5,没有竖起手指的手不能被攻击或选择攻击．当被攻击的手指数正好为五根时，手就不存在了．
rule_text_2_0,基本规则 2 / 2
rule_text_2_1,当对手的所有棋步都被终结时，就取得了胜利．
rule_text_2_2,如果同一棋盘出现四次或四次以上，则抽签决定为千日棋局．
rule_text_2_3,当出现相同的棋盘时，屏幕左侧日志的颜色会发生变化，可用于做出决定．
rule_text_2_4,注意，如果手指数超过５个，则手指数应除以５．
rule_text_3_0,关于当地规则
rule_text_3_1,这种游戏是儿童玩的一种手工游戏，根据地区的不同有不同的地方规则．
rule_text_3_2,游戏还使用九种不同的本地规则．
rule_text_3_3,可以在游戏开始前进行切换．
rule_text_4_0,截止时间（当地规则）
rule_text_4_1,如果攻击结果超过５，该规则也会消失．
rule_text_4_2,重要的是，要迅速站起来支持比赛，不要有太多的手指．
rule_text_5_0,超过五人（当地规则）
rule_text_5_1,最大手指数加倍规则．
rule_text_5_2,当手指数变成５的倍数时，它就会消失．
rule_text_5_3,这意味着当手指数达到五根时，手就会消失，就像正常规则一样．
rule_text_5_4,当手指数超过１０时，手指数应除以１０．
rule_text_6_0,最大起始点（本地规则）
rule_text_6_1,规则是双方一开始都竖起四根手指．
rule_text_7_0,逆转（地方规则）
rule_text_7_1,符合失败条件的玩家赢得逆转的规则．
rule_text_8_0,负数（本地规则）
rule_text_8_1,该规则允许用户将手指改为负数，而不是攻击．
rule_text_8_2,反之，变成负数的手指也可以变回正数．
rule_text_8_3,当绝对值达到５时，变成负数的手指就会消失，就像正数一样，如果绝对值超过５，除以５就会变得太多．
rule_text_9_0,自我伤害（当地规定）
rule_text_9_1,该规则还允许攻击者选择自己的手作为攻击目标．
rule_text_10_0,订购（当地规则）
rule_text_10_1,该规则允许棋手移动手指，使手指总数保持不变，而不是攻击．但有以下限制．
rule_text_10_2,・不能进行改变手数的操作．
rule_text_10_3,・手数为１时，他们不能负责．
rule_text_10_4,・但是，在交换中，左派和右派不能起主导作用．
rule_text_11_0,分部（地方规则）
rule_text_11_1,当棋手只有一只手时，允许他将手分成两只而不是攻击的规则，这样他的手指总数就保持不变．
rule_text_12_0,耦合（本地规则）
rule_text_12_1,一种规则，允许一个人将两只手合二为一，而不是攻击，这样他或她的手指总数就保持不变．
rule_text_13_0,三只手
rule_text_13_1,拆分手数的规则，以便拆分时有三只手．
